parental_level_of_education,diff,lwr,upr,p adj
high school-some high school,-2.234465853,-6.457665109,1.988733402,0.657451741
some college-some high school,2.521629505,-1.56558345,6.608842461,0.491279756
associate's degree-some high school,3.989380442,-0.114074541,8.092835425,0.062204926
bachelor's degree-some high school,6.061452514,1.217596832,10.9053082,0.004960154
master's degree-some high school ,8.43433387,2.302131947,14.56653579,0.001286698
some college-high school  ,4.756095358,0.769019855,8.743170862,0.008945301
associate's degree-high school,6.223846295,2.220122513,10.22757008,0.000146264
bachelor's degree-high school,8.295918367,3.536254599,13.05558214,1.13E-05
master's degree-high school,10.66879972,4.602881677,16.73471777,8.98E-06
associate's degree-some college,1.467750937,-2.392262264,5.327764138,0.887155654
bachelor's degree-some college,3.539823009,-1.09960551,8.179251528,0.248697261
master's degree-some college,5.912704365,-0.059335449,11.88474418,0.054107338
bachelor's degree-associate's degree,2.072072072,-2.581671586,6.72581573,0.800690068
master's degree-associate's degree ,4.444953428,-1.53821401,10.42812087,0.277059508
master's degree-bachelor's degree,2.372881356,-4.140404117,8.886166829,0.904254006
